, CS Length, BB Drop, Stack, SS E, ST Angle, BB OD, TT OD, HT OD, DT OD, CS OD, SS OD, ST OD, CS F, HT LX, ST UX, HT UX, HT Angle, HT Length, ST Length, BB Length, Dropout Offset, SSB OD, CSB OD, Material, SSB Offset, CSB Offset, SS Z, SS Thickness, CS Thickness, TT Thickness, BB Thickness, HT Thickness, ST Thickness, DT Thickness, DT Length
1910,0.381,0.0,0.5656,0.06,71.0,0.04,0.0302,0.045,0.045,0.0275,0.019,0.0318,0.015,0.0448,0.0553,0.0292,70.5,0.115,0.301,0.068,0.135,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.3,0.009000000000000001,0.000981361027707406,0.0017876764279027382,0.0009530670080844664,0.001720964577075789,0.0005579755202291623,0.0006420974228628222,0.0005645433476241594,0.6097488774712575
1911,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0501,0.0486,0.034,73.0,0.145,0.5146000000000001,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0006768159654020514,0.0020753258995166207,0.005154936806217696,0.004375959236999218,0.0007765793510883702,0.0006217632065572491,0.0010164247985175144,0.6518327997674231
1912,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0501,0.0486,0.034,73.0,0.145,0.5146000000000001,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.007645893080745094,0.0006313865678782526,0.007200824228311429,0.003450182976586971,0.0007681062952440992,0.0017733519490136613,0.0015867719935405214,0.6518327997674231
1914,0.381,0.0,0.5656,0.05,70.0,0.04,0.0352,0.053,0.045,0.04,0.024,0.0318,0.015,0.0512,0.0494,0.0356,69.0,0.115,0.307,0.068,0.135,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.3,0.009000000000000001,0.0035267214258378533,0.0016172345757184425,0.0005657833946003045,0.001311987250620743,0.0014513198822355851,0.0032731993790301337,0.001689783535994408,0.6091703122966564
1918,0.36778,0.07,0.5656,0.325,74.5,0.04,0.0347,0.045,0.04405,0.025,0.013000000000000001,0.0318,0.015,0.0518,0.1936,0.0441,74.0,0.1451,0.7743,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0005933301602011656,0.005185186956703688,0.0021875398532868805,0.0067667993117463575,0.007237784528889067,0.0012510751182391454,0.0016762434634115533,0.6616834877955851
1920,0.39827,0.07,0.5656,0.1,74.5,0.04,0.0306,0.045,0.0365,0.023350000000000003,0.013999999999999999,0.0358,0.015,0.0535,0.03,0.0379,75.0,0.1691,0.6105,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0018583329622068234,0.0007943876819597794,0.001341092219916828,0.005453573679412445,0.005032009062253958,0.0007602815380930733,0.0040762681259653094,0.6736507920095686
1924,0.30148,0.043,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0448,0.0469,0.0407,77.0,0.1244,0.5129,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.002488052880467796,0.0005262648982944276,0.0011560560343303382,0.002063218540362156,0.0013033795608898716,0.0010558257138174262,0.002285672643854816,0.5553749173738334
1930,0.42,0.01,0.5656,0.045,71.5,0.04,0.0385,0.06,0.0455,0.031,0.0165,0.0318,0.015,0.035,0.09,0.0226,67.0,0.1,0.36,0.073,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.3,0.009000000000000001,0.005752657092395547,0.004605827485599909,0.004770392487455804,0.0005014649016537915,0.004121233839280481,0.008029892239375204,0.009683315715317586,0.6248610217668933
1931,0.4,0.03,0.5656,0.045,71.5,0.04,0.0385,0.06,0.0455,0.031,0.0165,0.0318,0.015,0.035,0.06,0.0226,67.0,0.1,0.3,0.073,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.3,0.009000000000000001,0.005669121979845832,0.004486140109552132,0.003990720840240332,0.0038984058685173025,0.0066782993099554384,0.002498995143705897,0.006756908344885685,0.6479810286078513
1932,0.42,0.01,0.5656,0.045,71.5,0.04,0.0385,0.06,0.0455,0.031,0.0165,0.0318,0.015,0.035,0.04,0.0226,67.0,0.1,0.34,0.073,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.3,0.009000000000000001,0.0006733597528805044,0.00269058349697589,0.003701135785097678,0.0005885758628230741,0.0006510824335487535,0.009220247846336942,0.0011417712475411054,0.6337978775900314
